lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,aqi_index,pm2_5,pm10,co,no2
28.6469,77.316,8.1,100,995.4,2.9,197,185.8,188.6,1907,56.7
28.6469,77.316,7.7,100,994.7,3.2,198,174.6,177.4,1669,44.8
28.6469,77.316,7.5,100,994.3,4.5,199,164.4,166.7,1493,34.6
28.6469,77.316,7.8,99,994.1,6.0,200,156.5,158.8,1401,26.7
28.6469,77.316,7.3,100,993.8,6.8,200,149.5,151.8,1372,20.6
28.6469,77.316,7.6,99,993.9,7.3,201,156.5,158.3,1387,33.3
28.6469,77.316,8.1,99,994.7,4.8,201,144.4,146.2,1486,31.4
28.6469,77.316,8.0,99,995.2,4.0,201,138.3,140.6,1629,28.7
28.6469,77.316,8.4,99,995.7,6.5,200,136.4,138.8,1683,26.0
28.6469,77.316,9.4,97,996.3,8.0,200,141.1,143.0,1556,23.3
28.6469,77.316,11.3,89,996.3,8.8,200,129.9,132.2,1338,20.5
28.6469,77.316,13.1,81,995.9,8.1,200,122.5,125.3,1169,18.2
28.6469,77.316,14.6,77,994.7,6.3,200,115.5,118.3,1079,15.4
28.6469,77.316,15.8,73,993.5,6.2,200,108.7,111.8,1037,13.1
28.6469,77.316,16.5,72,992.6,6.3,201,103.6,106.6,1085,14.1
28.6469,77.316,16.9,70,992.3,6.9,201,99.4,102.7,1291,21.0
28.6469,77.316,16.5,72,992.2,6.0,201,100.4,102.9,1586,31.3
28.6469,77.316,14.9,80,992.2,4.7,202,148.5,151.8,1813,52.6
28.6469,77.316,12.2,88,994.1,2.8,202,157.4,160.7,1910,55.0
28.6469,77.316,11.4,90,994.4,3.6,201,162.1,165.3,1939,58.0
28.6469,77.316,10.9,92,994.7,4.0,200,167.6,170.4,1917,58.6
28.6469,77.316,10.4,93,994.9,4.4,199,171.8,174.6,1833,55.1
28.6469,77.316,10.1,94,994.6,4.8,198,175.1,178.3,1699,49.2
28.6469,77.316,9.6,96,994.2,5.4,198,174.2,177.0,1573,42.6
28.6304,77.2177,8.2,100,993.8,1.8,197,185.8,188.6,1645,56.7
28.6304,77.2177,7.8,99,993.2,2.5,198,174.6,177.4,1551,44.8
28.6304,77.2177,7.6,99,992.8,3.9,199,164.4,166.7,1478,34.6
28.6304,77.2177,7.8,98,992.6,5.3,200,156.5,158.8,1418,26.7
28.6304,77.2177,7.6,98,992.4,5.9,200,149.5,151.8,1379,20.6
28.6304,77.2177,7.9,98,992.5,6.7,201,156.5,158.3,1377,33.3
28.6304,77.2177,8.1,97,993.2,3.7,201,144.4,146.2,1458,31.4
28.6304,77.2177,8.1,96,993.6,4.0,201,138.3,140.6,1577,28.7
28.6304,77.2177,8.6,96,994.2,5.9,200,136.4,138.8,1615,26.0
28.6304,77.2177,9.3,96,994.7,8.1,200,141.1,143.0,1494,23.3
28.6304,77.2177,11.0,90,994.9,8.5,200,129.9,132.2,1294,20.5
28.6304,77.2177,13.1,81,994.5,8.6,200,122.5,125.3,1131,18.2
28.6304,77.2177,14.7,77,993.2,6.2,200,115.5,118.3,1034,15.4
28.6304,77.2177,15.9,73,992.1,6.2,200,108.7,111.8,974,13.1
28.6304,77.2177,16.7,71,991.2,6.5,201,103.6,106.6,992,14.1
28.6304,77.2177,17.0,69,990.9,7.4,201,99.4,102.7,1143,21.0
28.6304,77.2177,16.5,72,990.8,6.5,201,100.4,102.9,1370,31.3
28.6304,77.2177,14.8,80,990.8,5.2,202,148.5,151.8,1543,52.6
28.6304,77.2177,12.4,86,992.5,2.3,202,157.4,160.7,1605,55.0
28.6304,77.2177,11.6,89,992.9,3.2,201,162.1,165.3,1613,58.0
28.6304,77.2177,11.1,90,993.2,3.1,200,167.6,170.4,1603,58.6
28.6304,77.2177,10.3,93,993.3,3.7,199,171.8,174.6,1587,55.1
28.6304,77.2177,9.6,95,993.1,4.3,198,175.1,178.3,1553,49.2
28.6304,77.2177,9.1,96,992.7,4.6,198,174.2,177.0,1504,42.6
28.5882,77.0494,8.0,100,994.4,2.8,197,193.7,197.0,1724,74.2
28.5882,77.0494,7.8,100,993.9,3.0,198,180.7,183.9,1585,58.6
28.5882,77.0494,7.2,100,993.4,3.8,199,167.6,170.4,1470,45.0
28.5882,77.0494,7.0,100,993.2,4.7,201,153.2,156.0,1387,33.8
28.5882,77.0494,7.0,99,993.0,5.6,202,141.6,144.4,1327,24.6
28.5882,77.0494,7.3,99,993.1,6.5,203,168.1,170.0,1288,46.3
28.5882,77.0494,7.7,96,993.9,3.3,204,152.7,155.1,1286,42.2
28.5882,77.0494,7.9,96,994.4,4.8,204,145.8,148.1,1306,36.3
28.5882,77.0494,8.4,92,994.9,5.9,203,136.0,138.8,1293,31.2
28.5882,77.0494,9.1,96,995.5,8.7,202,133.6,136.0,1217,27.7
28.5882,77.0494,10.6,92,995.6,9.0,202,128.1,130.9,1108,24.9
28.5882,77.0494,12.9,81,995.1,9.0,203,120.6,123.9,1011,22.2
28.5882,77.0494,14.6,77,993.9,6.8,204,112.2,115.3,924,18.2
28.5882,77.0494,15.9,73,992.8,6.8,204,103.8,107.1,848,14.4
28.5882,77.0494,16.6,70,991.8,7.3,205,96.2,99.4,830,14.8
28.5882,77.0494,16.8,70,991.6,8.0,205,92.4,95.5,908,22.5
28.5882,77.0494,16.2,72,991.5,7.1,205,93.4,95.9,1044,34.3
28.5882,77.0494,14.5,80,991.6,6.3,205,149.0,152.7,1169,61.5
28.5882,77.0494,12.1,86,993.1,3.3,205,162.5,165.8,1264,64.2
28.5882,77.0494,11.4,89,993.4,4.6,204,165.8,169.0,1349,67.7
28.5882,77.0494,10.6,91,993.9,4.6,202,167.6,170.4,1416,68.6
28.5882,77.0494,10.2,93,994.0,5.0,200,168.6,171.8,1468,65.4
28.5882,77.0494,9.9,94,993.7,5.4,199,170.9,174.2,1503,59.7
28.5882,77.0494,9.6,95,993.4,6.0,198,170.4,173.2,1505,52.6
28.5273,77.2618,8.6,100,992.4,4.1,197,193.7,197.0,1645,74.2
28.5273,77.2618,8.2,100,991.7,4.4,198,180.7,183.9,1456,58.6
28.5273,77.2618,7.7,100,991.2,5.1,199,167.6,170.4,1324,45.0
28.5273,77.2618,7.5,100,991.0,7.1,201,153.2,156.0,1268,33.8
28.5273,77.2618,7.4,100,990.8,8.5,202,141.6,144.4,1269,24.6
28.5273,77.2618,7.3,100,990.8,9.0,203,168.1,170.0,1297,46.3
28.5273,77.2618,8.4,100,991.8,5.2,204,152.7,155.1,1372,42.2
28.5273,77.2618,8.4,100,992.2,5.2,204,145.8,148.1,1474,36.3
28.5273,77.2618,8.8,98,992.7,8.1,203,136.0,138.8,1515,31.2
28.5273,77.2618,9.7,95,993.2,9.3,202,133.6,136.0,1440,27.7
28.5273,77.2618,12.1,84,993.4,9.4,202,128.1,130.9,1305,24.9
28.5273,77.2618,13.6,80,993.0,7.8,203,120.6,123.9,1188,22.2
28.5273,77.2618,14.9,75,991.8,7.2,204,112.2,115.3,1093,18.2
28.5273,77.2618,16.0,72,990.7,6.2,204,103.8,107.1,1017,14.4
28.5273,77.2618,16.8,69,989.8,6.6,205,96.2,99.4,1022,14.8
28.5273,77.2618,17.0,69,989.5,7.0,205,92.4,95.5,1177,22.5
28.5273,77.2618,16.5,72,989.4,6.7,205,93.4,95.9,1413,34.3
28.5273,77.2618,14.9,80,989.4,5.6,205,149.0,152.7,1595,61.5
28.5273,77.2618,12.1,88,991.1,3.6,205,162.5,165.8,1666,64.2
28.5273,77.2618,11.5,90,991.3,4.2,204,165.8,169.0,1683,67.7
28.5273,77.2618,11.2,91,991.8,4.5,202,167.6,170.4,1673,68.6
28.5273,77.2618,11.1,91,991.9,5.8,200,168.6,171.8,1642,65.4
28.5273,77.2618,10.8,92,991.6,6.6,199,170.9,174.2,1586,59.7
28.5273,77.2618,10.4,93,991.3,7.1,198,170.4,173.2,1519,52.6
28.7041,77.1025,7.4,100,993.3,3.6,197,185.8,188.6,1887,56.7
28.7041,77.1025,7.3,100,992.8,3.3,198,174.6,177.4,1707,44.8
28.7041,77.1025,7.0,99,992.3,4.1,199,164.4,166.7,1562,34.6
28.7041,77.1025,7.2,99,992.1,5.2,200,156.5,158.8,1470,26.7
28.7041,77.1025,6.9,100,991.8,6.1,200,149.5,151.8,1413,20.6
28.7041,77.1025,7.2,99,991.9,6.7,201,156.5,158.3,1385,33.3
28.7041,77.1025,7.2,100,992.7,4.5,201,144.4,146.2,1414,31.4
28.7041,77.1025,7.1,100,993.0,5.2,201,138.3,140.6,1472,28.7
28.7041,77.1025,7.8,100,993.7,6.8,200,136.4,138.8,1473,26.0
28.7041,77.1025,8.8,97,994.3,8.6,200,141.1,143.0,1357,23.3
28.7041,77.1025,10.8,89,994.5,9.1,200,129.9,132.2,1184,20.5
28.7041,77.1025,13.2,81,994.0,8.2,200,122.5,125.3,1045,18.2
28.7041,77.1025,15.1,75,992.8,7.0,200,115.5,118.3,959,15.4
28.7041,77.1025,16.2,71,991.5,7.2,200,108.7,111.8,907,13.1
28.7041,77.1025,17.0,68,990.7,7.8,201,103.6,106.6,920,14.1
28.7041,77.1025,17.0,67,990.4,8.3,201,99.4,102.7,1040,21.0
28.7041,77.1025,16.5,71,990.4,7.0,201,100.4,102.9,1224,31.3
28.7041,77.1025,14.8,79,990.4,6.3,202,148.5,151.8,1378,52.6
28.7041,77.1025,11.8,87,992.0,3.4,202,157.4,160.7,1471,55.0
28.7041,77.1025,10.6,92,992.4,4.3,201,162.1,165.3,1534,58.0
28.7041,77.1025,9.9,94,992.7,4.6,200,167.6,170.4,1562,58.6
28.7041,77.1025,9.4,95,992.9,4.8,199,171.8,174.6,1544,55.1
28.7041,77.1025,9.1,97,992.5,5.0,198,175.1,178.3,1491,49.2
28.7041,77.1025,8.9,97,992.2,5.6,198,174.2,177.0,1434,42.6
28.5562,77.1,8.0,100,991.6,2.8,197,193.7,197.0,1688,74.2
28.5562,77.1,7.8,100,991.1,3.0,198,180.7,183.9,1594,58.6
28.5562,77.1,7.2,100,990.7,3.8,199,167.6,170.4,1512,45.0
28.5562,77.1,7.0,100,990.5,4.7,201,153.2,156.0,1439,33.8
28.5562,77.1,7.0,99,990.3,5.6,202,141.6,144.4,1378,24.6
28.5562,77.1,7.3,99,990.3,6.5,203,168.1,170.0,1348,46.3
